iter	MAE	RMSE
228	12593.46294	17485.72492
229	12581.02181	17465.78424
230	12570.00537	17438.40944
231	12555.96898	17417.71662
232	12542.53631	17398.15672
233	12525.90372	17372.61242
234	12512.45222	17349.75245
235	12501.15919	17333.71478
236	12487.99441	17312.24242
237	12471.38383	17284.04067
238	12454.66525	17259.49311
239	12441.48098	17241.75467
240	12420.30159	17207.76374
241	12405.3292	17188.24607
242	12394.84239	17171.52943
243	12375.28424	17146.35188
244	12361.56179	17127.7425
245	12349.23919	17111.29527
246	12339.17889	17091.28437
247	12331.93016	17070.08181
248	12321.05884	17052.9831
249	12318.92139	17048.08635
250	12301.62252	17023.11769
251	12289.91201	17005.40941
252	12275.0047	16987.43556
253	12267.72655	16971.69983
254	12252.18166	16949.23725
255	12241.91935	16933.07561
256	12229.82428	16917.82593
257	12215.37441	16893.82468
258	12203.41677	16874.86899
259	12186.53078	16852.69878
260	12184.39746	16847.31009
261	12172.21468	16823.82017
262	12165.06287	16811.68496
263	12151.18483	16788.95418
264	12141.03542	16767.54666
265	12127.54564	16749.32314
266	12113.90758	16732.04729
267	12100.10501	16715.03483
268	12090.30231	16698.55415
269	12076.70558	16679.70479
270	12063.52239	16662.93491
271	12048.12719	16641.16576
272	12035.13695	16616.5523
273	12026.15727	16599.64996
274	12006.94727	16567.98296
275	11998.40616	16554.56262
276	11987.23568	16539.78272
277	11977.66125	16520.19331
278	11963.76758	16500.98636
279	11960.08587	16491.84988
280	11947.43443	16473.2084
281	11944.09142	16459.1135
282	11932.65094	16442.49057
283	11931.04139	16436.51553
284	11918.96153	16421.27893
285	11897.69849	16394.05645
286	11887.90618	16381.03594
287	11877.20464	16361.56208
288	11864.02948	16336.06692
289	11852.43198	16317.72624
290	11849.70803	16310.01508
291	11837.91472	16285.47541
292	11835.46506	16279.59389
293	11819.12706	16255.42336
294	11803.32559	16237.62646
295	11789.19723	16222.264
296	11773.32412	16200.0835
297	11758.91953	16182.15518
298	11747.63756	16162.82724
299	11740.71178	16150.47269
300	11729.22391	16130.90725
301	11718.12037	16111.14422
302	11707.02877	16094.58892
303	11694.62222	16079.55711
304	11693.08152	16074.30887
305	11687.01871	16056.89517
306	11684.95273	16052.29045
307	11676.70419	16039.81064
308	11665.42542	16021.39145
309	11663.90244	16016.34908
310	11647.91629	15996.16883
311	11632.24619	15974.51442
312	11617.02042	15949.15547
313	11609.1003	15939.24341
314	11595.9857	15921.1904
315	11586.78231	15906.92127
316	11574.23148	15883.84286
317	11572.45303	15878.75686
318	11562.06015	15865.08541
319	11554.96231	15855.46154
320	11538.32278	15832.22551
321	11526.21739	15814.34017
322	11516.01477	15802.16975
323	11496.91958	15773.62158
324	11486.13818	15755.27547
325	11482.30881	15749.02133
326	11468.14082	15732.82773
327	11454.07008	15717.25805
328	11445.10678	15704.52351
329	11443.49853	15700.03247
330	11429.6863	15681.45572
331	11414.88087	15662.12926
332	11412.51669	15657.19511
333	11398.77803	15639.92812
334	11389.63187	15626.16645
335	11380.42595	15609.48455
336	11379.03335	15605.14927
337	11364.79218	15589.34499
338	11350.87388	15570.14654
339	11339.71362	15545.80576
340	11331.70167	15530.98616
341	11325.02763	15518.48236
342	11311.10012	15501.65718
343	11302.10876	15489.01545
344	11288.52793	15472.85771
345	11278.82309	15459.01485
346	11270.95439	15438.68583
347	11265.85231	15425.51596
348	11264.60116	15421.50724
349	11260.06624	15412.3251
350	11249.30599	15396.09126
351	11243.70632	15383.11184
352	11233.36389	15371.03429
353	11218.2197	15351.91237
354	11206.70212	15336.96711
355	11191.34577	15318.76863
356	11180.96779	15302.01871
357	11174.72763	15293.53652
358	11164.66698	15278.10935
359	11155.79328	15267.70809
360	11143.04763	15255.08704
361	11128.56485	15233.83699
362	11121.94985	15217.51238
363	11110.75139	15206.5394
364	11101.1825	15191.65643
365	11092.34018	15176.9126
366	11076.96349	15155.94737
367	11071.62206	15144.68646
368	11058.81698	15125.24385
369	11045.00149	15106.6811
370	11030.04032	15084.60884
371	11014.94192	15066.17139
372	11001.67994	15049.03035
373	10995.87762	15039.7172
374	10988.67004	15024.08445
375	10979.34911	15010.20795
376	10969.77815	14996.19787
377	10966.85186	14983.39257
378	10962.33826	14974.45418
379	10951.24756	14962.41623
380	10947.32406	14951.60797
381	10938.15636	14938.16601
382	10931.12494	14928.09076
383	10923.94682	14910.09565
384	10913.41198	14895.67064
385	10912.10589	14892.40112
386	10899.70712	14874.44437
387	10892.73782	14857.25859
388	10881.80257	14842.25398
389	10869.83458	14824.98185
390	10868.41458	14821.57463
391	10865.40467	14816.53817
392	10855.8362	14798.13517
393	10844.80038	14784.97158
394	10834.21419	14775.11696
395	10827.99235	14767.95736
396	10817.33287	14750.70686
397	10807.18557	14737.39518
398	10801.67827	14727.57859
399	10794.66639	14711.3187
400	10782.72418	14692.8215
401	10781.04904	14689.84824
402	10770.1319	14676.8454
403	10755.78906	14659.37519
404	10753.91546	14655.88218
405	10750.25113	14647.81327
406	10749.06795	14645.62001
407	10738.24069	14632.16633
408	10727.0576	14615.57677
409	10713.19147	14599.30548
410	10705.4045	14586.21511
411	10698.36597	14571.58282
412	10686.97709	14556.7288
413	10680.9579	14540.88906
414	10671.24637	14527.99456
415	10660.96992	14515.96495
416	10648.11415	14500.29713
417	10637.1155	14479.18422
418	10624.90265	14463.30346
419	10614.86355	14451.66079
420	10603.54321	14436.34848
421	10593.84518	14425.88678
422	10592.56869	14423.42846
423	10578.18187	14404.51822
424	10568.30053	14390.9413
425	10553.20607	14371.36582
426	10548.89448	14361.61437
427	10537.79792	14344.159
428	10528.32029	14331.1356
429	10520.13565	14319.38005
430	10516.77388	14313.39425
431	10515.65427	14311.38541
432	10508.82489	14302.32529
433	10497.94973	14291.06404
434	10488.63113	14272.68085
435	10478.41913	14257.64699
436	10465.72603	14242.43742
437	10457.38999	14224.37574
438	10456.4014	14222.37308
439	10446.94705	14211.56892
440	10445.74084	14209.35447
441	10439.15722	14200.68171
442	10431.15749	14184.82123
443	10425.10745	14174.30614
444	10413.08286	14161.29847
445	10404.26569	14149.80883
446	10400.63308	14137.09377
447	10390.0868	14123.08338
448	10385.70937	14117.66024
449	10378.34565	14103.77578
450	10372.09266	14094.59414
451	10364.11404	14081.81229
452	10355.01106	14068.9418
453	10346.45699	14059.61223
454	10340.05608	14051.51669
455	10336.55954	14044.49151
456	10324.34706	14024.12433
457	10316.92106	14011.69725
458	10306.17197	13998.1223
459	10303.83177	13987.75149
460	10299.04271	13978.4946
461	10288.67517	13966.66739
462	10276.24926	13945.59866
463	10263.17204	13929.2111
464	10253.55257	13917.02837
465	10240.76535	13903.07618
466	10235.70861	13898.12432
467	10224.23398	13882.26866
468	10220.41213	13878.0021
469	10209.23422	13861.92436
470	10200.34088	13849.06458
471	10196.89784	13844.44605
472	10189.00305	13831.35914
473	10177.16303	13819.34034
474	10162.20761	13796.32294
475	10155.53073	13784.70692
476	10148.26221	13767.79552
477	10136.73485	13751.21727
478	10128.61179	13742.21868
479	10120.83348	13728.77366
480	10118.64041	13719.03311
481	10107.2655	13706.45758
482	10103.11411	13701.86457
483	10093.88824	13688.49373
484	10079.17702	13665.68363
485	10068.82256	13650.09652
486	10058.76545	13638.33931
487	10048.6343	13623.73682
488	10041.46536	13614.96082
489	10032.20087	13601.04615
490	10023.42978	13587.23622
491	10019.94559	13579.94502
492	10009.95161	13567.4035
493	9997.448154	13544.01331
494	9990.065685	13533.38393
495	9988.779924	13531.17167
496	9981.792745	13519.01853
497	9974.574761	13508.37514
498	9968.583193	13495.35241
499	9956.152528	13480.34775
500	9948.421563	13470.94238
501	9936.89241	13453.55247
502	9928.586117	13444.75049
503	9915.421913	13429.62533
504	9903.72461	13411.94822
505	9899.078861	13402.8857
506	9893.356405	13397.2907
507	9889.73836	13393.08447
508	9882.409716	13384.10213
509	9870.450995	13367.73428
510	9859.636524	13354.37905
511	9851.910828	13346.31442
512	9849.896264	13337.20638
513	9842.821983	13325.20923
514	9834.689351	13313.61265
515	9825.429912	13297.74381
516	9817.258442	13287.34043
517	9808.716431	13277.32471
518	9804.289107	13273.49667
519	9799.454963	13261.70929
520	9789.794966	13252.25147
521	9780.358326	13239.4805
522	9773.360644	13229.55133
523	9770.683703	13223.58272
524	9763.86496	13212.03473
525	9758.067839	13203.11272
526	9748.028589	13191.27131
527	9740.584045	13179.93081
528	9729.148709	13166.26116
529	9722.488175	13157.75058
530	9720.841941	13155.2985
531	9709.825992	13143.41124
532	9700.685876	13128.32821
533	9693.189519	13115.75951
534	9689.662857	13108.06843
535	9681.950627	13093.96278
536	9673.26959	13082.61071
537	9666.217748	13065.66909
538	9664.931376	13063.47693
539	9654.607409	13050.74141
540	9648.330962	13040.09382
541	9636.360235	13025.09702
542	9626.412135	13014.24183
543	9623.62691	13008.10068
544	9617.437975	12998.67097
545	9612.585123	12992.22935
546	9609.467089	12985.70501
547	9598.987705	12970.43991
548	9595.320259	12965.10577
549	9585.636094	12948.08805
550	9581.53605	12939.94136
551	9570.972326	12923.13975
552	9565.675021	12914.5599
553	9562.57056	12904.53137
554	9554.635727	12892.51443
555	9543.832583	12880.02055
556	9537.405272	12869.96525
557	9528.799551	12858.73985
558	9519.400442	12849.32718
559	9517.132705	12841.95388
560	9515.905216	12839.94106
561	9510.929201	12832.37986
562	9504.742161	12821.22249
563	9502.43471	12813.40714
564	9497.55287	12808.97735
565	9486.238904	12790.43232
566	9477.475489	12778.17647
567	9475.679846	12774.64466
568	9466.559863	12762.12397
569	9458.152076	12751.89702
570	9450.310576	12735.28462
571	9436.416456	12719.7388
572	9427.685291	12707.26422
573	9421.33883	12695.07209
574	9412.123857	12684.00059
575	9403.218169	12670.88622
576	9397.169706	12664.1248
577	9389.610462	12653.35782
578	9382.440423	12644.3326
579	9374.640348	12634.83034
580	9372.926447	12632.29491
581	9371.626264	12630.2795
582	9365.182308	12622.76505
583	9357.183481	12613.11453
584	9350.610497	12602.75796
585	9338.933701	12587.50745
586	9331.845422	12573.20019
587	9326.477035	12566.2068
588	9323.788372	12560.22495
589	9308.656869	12540.29244
590	9303.875264	12530.06649
591	9294.664846	12519.36735
592	9290.600671	12513.46976
593	9286.368693	12509.23539
594	9279.669975	12499.70893
595	9278.537018	12497.80472
596	9270.057857	12483.9243
597	9264.307553	12476.72565
598	9261.411926	12470.71532
599	9247.738291	12454.45566
600	9239.269606	12441.70156
601	9227.389267	12424.61878
602	9220.846949	12415.98058
603	9215.209778	12407.39147
604	9207.095285	12398.04087
605	9201.993749	12386.50091
606	9195.299337	12371.58391
607	9187.771939	12360.32978
608	9176.590541	12346.63503
609	9169.807497	12335.57753
610	9165.77098	12327.28449
611	9156.67928	12314.76989
612	9154.800129	12312.50076
613	9145.688092	12302.51126
614	9144.103182	12295.64624
615	9137.692801	12287.12056
616	9134.645137	12280.73058
617	9128.776022	12273.81596
618	9121.518288	12264.55022
619	9115.60252	12255.41578
620	9111.869567	12246.86131
621	9110.677573	12245.06407
622	9103.593026	12235.04669
623	9095.713937	12224.46696
624	9083.790612	12211.94431
625	9074.115194	12198.63659
626	9068.086078	12188.40472
627	9067.048574	12186.63973
628	9058.344891	12176.00331
629	9049.679248	12165.30273
630	9041.211443	12155.05966
631	9031.155765	12138.5962
632	9019.154843	12124.77845
633	9011.363764	12116.08108
634	9006.453236	12109.44126
635	9001.595229	12101.60709
636	8995.109224	12093.92569
637	8991.483401	12085.29805
638	8980.554733	12071.82644
639	8973.882	12059.17762
640	8972.292863	12057.34693
641	8964.147074	12044.70866
642	8960.49167	12040.29441
643	8957.430303	12034.88525
644	8953.350172	12026.05715
645	8947.437943	12017.33317
646	8938.511305	12002.36173
647	8931.077649	11990.32165
648	8929.877888	11988.47932
649	8928.908939	11986.90762
650	8920.376846	11974.30147
651	8915.424909	11966.80801
652	8909.789239	11957.24766
653	8902.898333	11948.72765
654	8902.642655	11947.63174
655	8894.210621	11936.41788
656	8891.34339	11932.78224
657	8890.843482	11931.54907
658	8889.886059	11930.16758
659	8881.663734	11918.07051
660	8874.735061	11907.22256
661	8865.687392	11894.71333
662	8860.126069	11887.76305
663	8857.436635	11885.04309
664	8851.382423	11875.95843
665	8846.472694	11869.41977
666	8838.392003	11859.32742
667	8829.52957	11847.40485
668	8824.686142	11842.01398
669	8817.963315	11832.35388
670	8810.976763	11817.60262
671	8803.847538	11807.43419
672	8797.515759	11798.3493
673	8791.417053	11790.63948
674	8783.750696	11777.21516
675	8779.668316	11770.48887
676	8772.180211	11759.41781
677	8768.72994	11751.02628
678	8764.881771	11745.67484
679	8759.498978	11738.41158
680	8753.742996	11730.51126
681	8748.628071	11722.97029
682	8747.420098	11721.30826
683	8739.642897	11709.29254
684	8738.686231	11707.86401
685	8736.67233	11705.82212
686	8727.096833	11695.165
687	8725.610784	11689.33289
688	8718.215443	11678.44148
689	8711.415837	11667.77376
690	8709.942793	11662.10032
691	8700.05279	11649.5
692	8688.186866	11636.97232
693	8680.692632	11626.56718
694	8678.264992	11619.26685
695	8669.852061	11609.70164
696	8665.6317	11604.42852
697	8658.798395	11594.20525
698	8656.057925	11589.48957
699	8652.376216	11582.53305
700	8647.719296	11576.07599
701	8639.705311	11561.10994
702	8629.791568	11549.3916
703	8625.581922	11543.38756
704	8621.060551	11535.99911
705	8619.025011	11533.57641
706	8613.575644	11526.46158
707	8607.062443	11515.60082
708	8600.81018	11502.83545
709	8599.228247	11500.97683
710	8594.536813	11492.94916
711	8586.317356	11482.36141
712	8580.574254	11476.40021
713	8569.928865	11465.52344
714	8563.308581	11454.97853
715	8556.964107	11446.11924
716	8549.983451	11436.89942
717	8544.332628	11428.74623
718	8537.206039	11417.53129
719	8530.38129	11408.53592
720	8522.623473	11395.17243
721	8515.748963	11382.5448
722	8509.202868	11373.67202
723	8501.859182	11363.12407
724	8495.971969	11354.30879
725	8490.644547	11347.00193
726	8485.742784	11340.53746
727	8479.212823	11329.90811
728	8472.35196	11320.56006
729	8467.149575	11312.37704
730	8460.364156	11301.88293
731	8456.405054	11297.824
732	8452.749778	11290.66642
733	8443.887011	11280.20438
734	8436.965852	11269.67145
735	8436.458158	11268.80326
736	8431.684347	11263.17676
737	8425.393607	11253.20467
738	8414.256457	11237.43223
739	8413.896706	11236.44449
740	8408.643657	11229.48934
741	8402.472274	11219.8341
742	8391.546986	11208.09881
743	8385.75569	11200.59099
744	8385.040235	11199.61161
745	8378.300547	11190.96411
746	8370.828524	11180.58785
747	8366.74046	11174.34472
748	8363.642992	11170.22795
749	8353.85169	11157.70284
750	8353.03162	11156.60745
751	8347.201027	11148.11061
752	8346.761378	11146.58129
753	8342.474272	11141.43861
754	8333.255749	11130.36628
755	8325.542797	11119.42905
756	8317.905838	11109.23197
757	8311.894814	11100.12649
758	8305.922031	11092.61255
759	8299.576065	11083.99013
760	8298.168124	11078.89028
761	8297.520398	11077.649
762	8295.840353	11075.3283
763	8288.569712	11066.37093
764	8285.274633	11060.5901
765	8279.577121	11054.20818
766	8273.166758	11043.02236
767	8266.416912	11032.50918
768	8262.091841	11026.02743
769	8261.651144	11024.9906
770	8261.2166	11023.98529
771	8255.408542	11014.89618
772	8254.957595	11013.97061
773	8254.64176	11012.9299
774	8248.430393	11004.34734
775	8242.649222	10996.10689
776	8235.268576	10980.69049
777	8231.700777	10976.52314
778	8226.927692	10970.20006
779	8220.597837	10962.79828
780	8216.727575	10956.54963
781	8210.095595	10948.75953
782	8205.469461	10942.86888
783	8200.543665	10934.64221
784	8198.03299	10930.53642
785	8191.517702	10921.97218
786	8184.666585	10914.17629
787	8183.605075	10913.07549
788	8178.123221	10904.68677
789	8171.681536	10897.29457
790	8168.777087	10892.4418
791	8168.175649	10891.35197
792	8157.44304	10879.38416
793	8155.867934	10875.69486
794	8150.762855	10865.15638
795	8143.186702	10856.09188
796	8136.659835	10844.77734
797	8127.110687	10834.20695
798	8118.009391	10823.20102
799	8117.6071	10822.22654
800	8111.956125	10814.4771
801	8111.40024	10813.12415
802	8104.615753	10805.6687
803	8097.083314	10796.0012
804	8094.20299	10790.03006
805	8088.960507	10781.10272
806	8083.112293	10772.95946
807	8079.345635	10766.63951
808	8075.293659	10759.812
809	8070.086631	10751.6455
810	8062.150772	10742.57646
811	8058.577861	10736.41854
812	8058.204484	10735.53071
813	8052.37458	10726.88463
814	8046.755643	10720.61095
815	8038.647413	10711.05429
816	8035.344104	10707.73255
817	8029.091027	10699.08896
818	8023.537981	10689.7285
819	8016.549578	10680.88518
820	8006.929876	10667.41721
821	8000.563473	10659.20219
822	8000.176158	10658.34114
823	7993.350367	10648.97233
824	7990.564123	10643.48891
825	7981.713428	10631.35773
826	7975.895051	10620.99999
827	7971.029345	10614.91407
828	7967.592495	10607.56864
829	7960.86562	10596.34195
830	7956.065347	10590.05145
831	7947.243824	10574.0278
832	7937.785303	10561.11745
833	7928.877189	10550.83055
834	7922.404258	10544.50579
835	7922.032656	10543.64464
836	7914.311762	10535.95165
837	7907.263177	10525.55507
838	7906.701902	10524.19696
839	7900.17822	10514.97639
840	7894.783205	10505.44288
841	7888.591321	10497.32493
842	7881.122068	10488.03432
843	7878.482966	10483.69919
844	7872.730731	10474.66263
845	7867.374717	10467.15636
846	7866.067858	10464.64484
847	7860.687301	10457.86159
848	7856.96737	10451.25903
849	7851.87301	10444.46425
850	7850.023462	10442.96169
851	7844.93505	10435.09288
852	7840.850227	10429.07129
853	7833.654561	10420.89676
854	7826.905095	10410.76315
855	7824.752761	10407.36382
856	7820.554544	10402.3577
857	7813.049449	10391.39393
858	7807.681919	10384.24761
859	7801.883399	10375.26779
860	7799.343025	10370.07145
861	7797.758348	10368.43599
862	7789.852515	10356.95818
863	7786.12582	10351.82889
864	7782.907155	10346.91941
865	7782.745989	10346.12682
866	7778.664863	10339.98558
867	7776.130836	10336.21932
868	7772.495991	10329.51453
869	7767.989368	10321.57913
870	7760.156529	10311.76274
871	7753.82996	10302.35381
872	7747.127845	10295.30416
873	7741.909287	10288.07923
874	7737.956728	10283.81074
875	7730.004554	10274.60434
876	7726.103565	10268.93654
877	7724.675417	10267.74944
878	7724.525407	10267.00299
879	7723.933036	10265.92751
880	7721.601786	10263.26927
881	7715.310311	10253.21269
882	7712.78511	10248.99386
883	7706.697393	10239.30867
884	7699.96203	10230.95776
885	7694.789767	10226.1235
886	7686.636493	10214.86623
887	7677.982103	10202.84873
888	7672.388862	10197.88005
889	7668.724662	10191.97858
890	7666.191229	10187.28468
891	7662.332182	10183.84898
892	7657.979666	10177.12207
893	7653.035158	10170.75828
894	7643.882046	10159.70798
895	7636.458713	10151.51588
896	7635.379182	10150.1762
897	7631.507523	10143.4402
898	7625.079089	10133.90136
899	7620.123398	10127.03055
900	7614.576042	10119.11107
901	7609.258931	10111.65771
902	7606.156303	10108.27394
903	7600.942399	10100.79639
904	7594.365182	10093.52769
905	7593.703069	10092.48026
906	7589.537645	10087.06326
907	7582.732119	10079.59479
908	7575.974707	10071.37127
909	7569.528129	10061.85686
910	7563.321791	10054.43603
911	7559.969701	10048.42667
912	7557.244286	10045.43999
913	7551.497884	10036.65151
914	7546.483955	10028.14862
915	7539.523544	10016.17301
916	7533.736164	10008.11707
917	7527.945722	10000.59527
918	7523.85819	9996.786981
919	7522.091228	9994.44491
920	7517.745482	9987.598729
921	7513.240527	9981.033522
922	7510.967136	9978.261295
923	7500.450407	9965.978348
924	7496.10323	9960.151641
925	7491.993796	9954.745329
926	7484.73422	9944.84308
927	7479.946259	9938.671959
928	7475.38965	9930.452531
929	7472.095604	9924.400172
930	7465.576193	9917.550179
931	7460.636938	9910.831334
932	7457.845878	9905.541433
933	7448.240055	9895.487412
934	7443.696612	9889.170645
935	7439.261066	9883.293512
936	7429.334925	9869.23656
937	7422.283109	9860.881697
938	7419.845135	9856.264269
939	7415.917342	9850.966233
940	7415.530101	9850.255151
941	7407.550533	9841.76208
942	7402.220876	9832.8785
943	7398.886615	9828.463749
944	7398.639493	9827.770525
945	7395.047434	9821.904245
946	7388.218628	9812.596552
947	7384.563423	9807.578699
948	7379.300692	9800.570485
949	7375.684202	9794.641242
950	7374.193166	9792.940985
951	7369.848984	9788.89948
952	7366.377368	9782.262101
953	7365.178007	9778.609407
954	7364.151331	9777.646572
955	7363.785826	9776.988429
956	7358.544672	9768.52535
957	7354.005767	9761.551224
958	7350.874587	9756.215381
959	7346.734148	9748.580551
960	7342.519433	9742.263505
961	7338.116389	9735.095273
962	7330.889968	9724.150832
963	7323.289821	9714.799137
964	7318.430462	9705.048969
965	7318.031589	9703.824328
966	7313.848544	9698.218305
967	7306.025218	9689.234478
968	7299.667163	9681.050752
969	7295.619091	9674.887414
970	7292.026082	9669.485373
971	7291.56201	9668.205702
972	7287.072039	9660.73981
973	7280.823249	9652.984323
974	7277.170887	9646.437452
975	7273.845216	9642.092925
976	7269.08972	9635.55021
977	7265.036289	9630.778462
978	7264.22647	9629.966346
979	7258.795548	9622.616669
980	7253.510804	9614.912036
981	7247.864166	9609.277021
982	7243.828261	9603.254361
983	7238.220304	9594.981829
984	7233.278572	9588.254278
985	7230.574619	9583.234605
986	7224.441473	9573.6268
987	7222.110819	9569.834392
988	7217.677276	9562.367424
989	7213.22822	9556.449715
990	7209.181439	9550.695358
991	7203.542258	9540.587477
992	7201.028386	9536.023131
993	7194.032437	9524.365516
994	7188.006812	9515.315693
995	7184.269002	9510.538961
996	7179.125007	9504.794282
997	7176.788811	9499.659949
